Rank,City,State,Population,Date of census
1,Berlin,Germany,"3,664,088",31-Dec-20
2,Madrid,Spain,"3,305,408",01-Jan-21
3,Rome,Italy,"2,770,226",01-Jan-21
4,Bucharest,Romania,"2,161,347",01-Jul-21
5,Paris,France,"2,139,907",01-Jan-22
6,Vienna,Austria,"1,951,354",01-Apr-22
7,Hamburg,Germany,"1,852,478",31-Dec-20
8,Warsaw,Poland,"1,795,569",31-Dec-21
9,Budapest,Hungary,"1,723,836",01-Jan-21
10,Barcelona,Spain,"1,636,732",01-Jan-21
11,Munich,Germany,"1,488,202",31-Dec-20
12,Milan,Italy,"1,374,582",01-Jan-21
13,Sofia,Bulgaria,"1,307,439",31-Dec-21
14,Prague,Czech Republic,"1,275,406",01-Jan-22
15,Cologne,Germany,"1,083,498",31-Dec-20
16,Stockholm,Sweden,"978,770",31-Dec-21
17,Naples,Italy,"922,094",01-Jan-21
18,Amsterdam,Netherlands,"905,234",31-Jan-22
19,Marseille,France,"870,731",01-Jan-19
20,Turin,Italy,"858,205",01-Jan-21
21,Valencia,Spain,"789,744",01-Jan-21
22,Kraków,Poland,"780,796",30-Jun-21
23,Zagreb,Croatia,"769,944",31-Aug-21
24,Frankfurt am Main,Germany,"764,104",31-Dec-20
25,Seville,Spain,"684,234",01-Jan-21
26,Zaragoza,Spain,"675,301",01-Jan-21
27,Łódź,Poland,"667,923",30-Jun-21
28,Athens,Greece,"664,046",30-Jun-11
29,Helsinki,Finland,"658,864",31-Dec-21
30,Rotterdam,Netherlands,"655,418",31-Dec-21
31,Wrocław,Poland,"641,201",30-Jun-21
32,Copenhagen,Denmark,"638,117",01-Jan-21
33,Palermo,Italy,"637,885",01-Jan-21
34,Stuttgart,Germany,"630,305",31-Dec-20
35,Düsseldorf,Germany,"620,523",31-Dec-20
36,Riga,Latvia,"614,618",01-Jan-21
37,Leipzig,Germany,"597,493",31-Dec-20
38,Dortmund,Germany,"587,696",31-Dec-20
39,Gothenburg,Sweden,"587,549",31-Dec-21
40,Essen,Germany,"582,415",31-Dec-20
41,Málaga,Spain,"577,405",01-Jan-21
42,Bremen,Germany,"566,573",31-Dec-20
43,Genoa,Italy,"566,410",01-Jan-21
44,Vilnius,Lithuania,"560,120",01-Jan-22
45,Dresden,Germany,"556,227",31-Dec-20
46,Dublin,Ireland,"554,554",24-Apr-16
47,The Hague,Netherlands,"553,277",31-Dec-21
48,Hanover,Germany,"534,049",31-Dec-20
49,Poznań,Poland,"530,464",30-Jun-21
50,Antwerp,Belgium,"528,903",01-Jan-22
51,Lyon,France,"522,969",01-Jan-19
52,Nuremberg,Germany,"515,543",31-Dec-20
53,Lisbon,Portugal,"509,614",31-Dec-20
54,Duisburg,Germany,"495,885",31-Dec-20
55,Toulouse,France,"493,465",01-Jan-19
56,Bratislava,Slovakia,"475,503",01-Dec-21
57,Gdańsk,Poland,"470,633",30-Jun-21
58,Murcia,Spain,"460,349",01-Jan-21
59,Tallinn,Estonia,"438,341",01-Jan-21
60,Palma de Mallorca,Spain,"419,366",01-Jan-21
61,Szczecin,Poland,"396,472",30-Jun-21
62,Sintra,Portugal,"392,887",31-Dec-20
63,Bologna,Italy,"391,686",01-Jan-21
64,Ia?i,Romania,"391,024",01-Jul-21
65,Brno,Czech Republic,"379,466",01-Jan-22
66,Las Palmas,Spain,"378,675",01-Jan-21
67,Florence,Italy,"368,419",01-Jan-21
68,Bochum,Germany,"364,454",31-Dec-20
69,Utrecht,Netherlands,"361,966",31-Dec-21
70,Wuppertal,Germany,"355,004",31-Dec-20
71,Aarhus,Denmark,"352,751",01-Jan-21
72,Malmö,Sweden,"351,749",31-Dec-21
73,Bilbao,Spain,"346,405",01-Jan-21
74,Nice,France,"342,669",01-Jan-19
75,Plovdiv,Bulgaria,"342,048",31-Dec-20
76,Bydgoszcz,Poland,"341,692",30-Jun-21
77,Varna,Bulgaria,"341,516",31-Dec-20
78,Lublin,Poland,"337,778",30-Jun-21
79,Alicante,Spain,"337,304",01-Jan-21
80,Bielefeld,Germany,"333,509",31-Dec-20
81,Bonn,Germany,"330,579",31-Dec-20
82,Cluj-Napoca,Romania,"328,316",01-Jul-21
83,Thessaloniki,Greece,"325,182",30-Jun-11
84,Córdoba,Spain,"322,071",01-Jan-21
85,Nantes,France,"318,808",01-Jan-19
86,Timi?oara,Romania,"318,296",01-Jul-21
87,Bari,Italy,"317,205",01-Jan-21
88,Münster,Germany,"316,403",31-Dec-20
89,Mannheim,Germany,"309,721",31-Dec-20
90,Karlsruhe,Germany,"308,436",31-Dec-20
91,Constan?a,Romania,"306,607",01-Jul-21
92,Gala?i,Romania,"304,957",01-Jul-21
93,Catania,Italy,"300,356",01-Jan-21
94,Vila Nova de Gaia,Portugal,"300,018",31-Dec-20
